YEAR;SHOW;RUNNING ORDER;COUNTRY;ARTIST;SONG TITLE;LANGUAGE;PLACE;POINTS
1996;Grand Final;01;Austria;George Nussbaumer;"Weil's dr guat got";Vorarlbergish;6;80
1996;Grand Final;02;Bosnia and Herzegovina;Amila Glamočak;"Za našu ljubav";Bosnian;21;29
1996;Grand Final;03;Belgium;Lisa del Bo;"Liefde is een kaartspel";Dutch;12;45
1996;Grand Final;04;Switzerland;Kathy Leander;"Mon cœur l'aime";French;8;67
1996;Grand Final;05;Cyprus;Constantinos;"Mono gia mas" (Μόνο για μας);Greek;15;42
1996;Grand Final;06;Germany;Leon;"Planet of Blue";German;24;24
1996;Grand Final;07;Denmark;Dorthe Andersen & Martin Loft;"Kun med dig";Danish;25;22
1996;Grand Final;08;Estonia;Maarja-Liis Ilus & Ivo Linna;"Kaelakee hääl";Estonian;5;106
1996;Grand Final;09;Spain;Antonio Carbonell;"¡Ay, qué deseo!";Spanish;14;43
1996;Grand Final;10;Finland;Jasmine;"Niin kaunis on taivas";Finnish;22;26
1996;Grand Final;11;France;Dan Ar Braz & l'Héritage des Celtes;"Diwanit Bugale";Breton;11;55
1996;Grand Final;12;United Kingdom;Gina G;"Ooh Aah... Just a Little Bit";English;3;153
1996;Grand Final;13;Greece;Marianna Efstratiou;"Emis forame to himona anixiatika"(Εμείς φοράμε το χειμώνα ανοιξιάτικα);Greek;12;45
1996;Grand Final;14;Croatia;Maja Blagdan;"Sveta ljubav";Croatian;19;30
1996;Grand Final;15;Hungary;Gjon Delhusa;"Fortuna";Hungarian;23;26
1996;Grand Final;16;Ireland;Eimear Quinn;"The Voice";English;2;198
1996;Grand Final;17;Israel;Galit Bell;"Shalom Olam" (שלום עולם);Hebrew;28;12
1996;Grand Final;18;Iceland;Anna Mjöll;"Sjúbídú";Icelandic;10;59
1996;Grand Final;19;Macedonia;Kaliopi;"Samo ti" (Само ти);Macedonian;26;14
1996;Grand Final;20;Malta;Miriam Christine;"In a Woman's Heart";English;4;138
1996;Grand Final;21;Netherlands;Maxine & Franklin Brown;"De eerste keer";Dutch;9;63
1996;Grand Final;22;Poland;Kasia Kowalska;"Chcę znać swój grzech...";Polish;15;42
1996;Grand Final;23;Portugal;Lúcia Moniz;"O meu coração não tem cor";Portuguese;18;32
1996;Grand Final;24;Romania;Monica Anghel & Sincron;"Rugă pentru pacea lumii";Romanian;29;11
1996;Grand Final;25;Russia;Andrey Kosinskiy;"Ya eto ya" (Я это я);Russian;26;14
1996;Grand Final;26;Sweden;One More Time;"Den vilda";Swedish;1;227
1996;Grand Final;27;Slovenia;Regina;"Dan najlepših sanj";Slovene;19;30
1996;Grand Final;28;Slovakia;Marcel Palonder;"Kým nás máš";Slovak;17;38
1996;Grand Final;29;Turkey;Şebnem Paker;"Beşinci Mevsim";Turkish;7;69
1997;Grand Final;01;Cyprus;Hara & Andreas Konstantinou;"Mana mou" (Μάνα μου);Greek;5;98
1997;Grand Final;02;Turkey;Şebnem Paker & Grup Ethnic;"Dinle";Turkish;3;121
1997;Grand Final;03;Norway;Tor Endresen;"San Francisco";Norwegian;24;0
1997;Grand Final;04;Austria;Bettina Soriat;"One Step";German;21;12
1997;Grand Final;05;Ireland;Marc Roberts;"Mysterious Woman";English;2;157
1997;Grand Final;06;Slovenia;Tanja Ribič;"Zbudi se";Slovene;10;60
1997;Grand Final;07;Switzerland;Barbara Berta;"Dentro di me";Italian;22;5
1997;Grand Final;08;Netherlands;Mrs. Einstein;"Niemand heeft nog tijd";Dutch;22;5
1997;Grand Final;09;Italy;Jalisse;"Fiumi di parole";Italian;4;114
1997;Grand Final;10;Spain;Marcos Llunas;"Sin rencor";Spanish;6;96
1997;Grand Final;11;Germany;Bianca Shomburg;"Zeit";German;18;22
1997;Grand Final;12;Poland;Anna Maria Jopek;"Ale jestem";Polish;11;54
1997;Grand Final;13;Estonia;Maarja-Liis Ilus;"Keelatud maa";Estonian;8;82
1997;Grand Final;14;Bosnia and Herzegovina;Alma Čardžić;"Goodbye";Bosnian;18;22
1997;Grand Final;15;Portugal;Célia Lawson;"Antes do adeus";Portuguese;24;0
1997;Grand Final;16;Sweden;Blond;"Bara hon älskar mig";Swedish;14;36
1997;Grand Final;17;Greece;Marianna Zorba;"Horepse" (Χόρεψε);Greek;12;39
1997;Grand Final;18;Malta;Debbie Scerri;"Let Me Fly";English;9;66
1997;Grand Final;19;Hungary;V.I.P.;"Miért kell, hogy elmenj?";Hungarian;12;39
1997;Grand Final;20;Russia;Alla Pugacheva;"Primadonna" (Примадонна);Russian;15;33
1997;Grand Final;21;Denmark;Kølig Kaj;"Stemmen i mit liv";Danish;16;25
1997;Grand Final;22;France;Fanny;"Sentiments songes";French;7;95
1997;Grand Final;23;Croatia;E.N.I.;"Probudi me";Croatian;17;24
1997;Grand Final;24;United Kingdom;Katrina and the Waves;"Love Shine a Light";English;1;227
1997;Grand Final;25;Iceland;Paul Oscar;"Minn hinsti dans";Icelandic;20;18
1998;Grand Final;01;Croatia;Danijela;"Neka mi ne svane";Croatian;5;131
1998;Grand Final;02;Greece;Thalassa;"Mia Krifi Evesthisia" (Μια κρυφή ευαισθησία);Greek;20;12
1998;Grand Final;03;France;Marie Line;"Où aller";French;24;3
1998;Grand Final;04;Spain;Mikel Herzog;"¿Qué voy a hacer sin ti?";Spanish;16;21
1998;Grand Final;05;Switzerland;Gunvor;"Lass ihn";German;25;0
1998;Grand Final;06;Slovakia;Katarína Hasprová;"Modlitba";Slovak;21;8
1998;Grand Final;07;Poland;Sixteen;"To takie proste";Polish;17;19
1998;Grand Final;08;Israel;Dana International;"Diva" (דיווה);Hebrew;1;172
1998;Grand Final;09;Germany;Guildo Horn;"Guildo hat euch lieb!";German;7;86
1998;Grand Final;10;Malta;Chiara;"The One That I Love";English;3;165
1998;Grand Final;11;Hungary;Charlie;"A holnap már nem lesz szomorú";Hungarian;23;4
1998;Grand Final;12;Slovenia;Vili Resnik;"Naj bogovi slišijo";Slovene;18;17
1998;Grand Final;13;Ireland;Dawn Martin;"Is Always Over Now?";English;9;64
1998;Grand Final;14;Portugal;Alma Lusa;"Se eu te pudesse abraçar";Portuguese;12;36
1998;Grand Final;15;Romania;Mălina Olinescu;"Eu cred";Romanian;22;6
1998;Grand Final;16;United Kingdom;Imaani;"Where Are You?";English;2;166
1998;Grand Final;17;Cyprus;Michael Hajiyanni;"Genesis" (Γένεσις);Greek;11;37
1998;Grand Final;18;Netherlands;Edsilia;"Hemel en aarde";Dutch;4;150
1998;Grand Final;19;Sweden;Jill Johnson;"Kärleken är";Swedish;10;53
1998;Grand Final;20;Belgium;Mélanie Cohl;"Dis oui";French;6;122
1998;Grand Final;21;Finland;Edea;"Aava";Finnish;15;22
1998;Grand Final;22;Norway;Lars Fredriksen;"Alltid sommer";Norwegian;8;79
1998;Grand Final;23;Estonia;Koit Toome;"Mere lapsed";Estonian;12;36
1998;Grand Final;24;Turkey;Tüzmen;"Unutamazsın";Turkish;14;25
1998;Grand Final;25;Macedonia;Vlado Janevski;"Ne zori, zoro" (Не зори, зоро);Macedonian;19;16
1999;Grand Final;01;Lithuania;Aistė;"Strazdas";Samogitian;20;13
1999;Grand Final;02;Belgium;Vanessa Chinitor;"Like the Wind";English;12;38
1999;Grand Final;03;Spain;Lydia;"No quiero escuchar";Spanish;23;1
1999;Grand Final;04;Croatia;Doris Dragović;"Marija Magdalena";Croatian;4;118
1999;Grand Final;05;United Kingdom;Precious;"Say It Again";English;12;38
1999;Grand Final;06;Slovenia;Darja Švajger;"For a Thousand Years";English;11;50
1999;Grand Final;07;Turkey;Tuğba Önal & Grup Mistik;"Dön Artık";Turkish;16;21
1999;Grand Final;08;Norway;Stig Van Eijk;"Living My Life Without You";English;14;35
1999;Grand Final;09;Denmark;Trine Jepsen & Michael Teschl;"This Time I Mean It";English;8;71
1999;Grand Final;10;France;Nayah;"Je veux donner ma voix";French;19;14
1999;Grand Final;11;Netherlands;Marlayne;"One Good Reason";English;8;71
1999;Grand Final;12;Poland;Mietek Szcześniak;"Przytul mnie mocno";Polish;18;17
1999;Grand Final;13;Iceland;Selma;"All Out of Luck";English;2;146
1999;Grand Final;14;Cyprus;Marlain;"Tha'nai Erotas" (Θα'ναι έρωτας);Greek;22;2
1999;Grand Final;15;Sweden;Charlotte Nilsson;"Take Me to Your Heaven";English;1;163
1999;Grand Final;16;Portugal;Rui Bandeira;"Como tudo começou";Portuguese;21;12
1999;Grand Final;17;Ireland;The Mullans;"When You Need Me";English;17;18
1999;Grand Final;18;Austria;Bobbie Singer;"Reflection";English;10;65
1999;Grand Final;19;Israel;Eden;"Yom Huledet (Happy Birthday)" (יום הולדת);English, Hebrew;5;93
1999;Grand Final;20;Malta;Times Three;"Believe 'n Peace";English;15;32
1999;Grand Final;21;Germany;Sürpriz;"Reise nach Jerusalem – Kudüs'e seyahat";German, Turkish,English, Hebrew;3;140
1999;Grand Final;22;Bosnia and Herzegovina;Dino & Béatrice;"Putnici";Bosnian, French;7;86
1999;Grand Final;23;Estonia;Evelin Samuel & Camille;"Diamond of Night";English;6;90
2000;Grand Final;01;Israel;PingPong;"Sameach" (שמח);Hebrew;22;7
2000;Grand Final;02;Netherlands;Linda Wagenmakers;"No Goodbyes";English;13;40
2000;Grand Final;03;United Kingdom;Nicki French;"Don't Play That Song Again";English;16;28
2000;Grand Final;04;Estonia;Ines;"Once in a Lifetime";English;4;98
2000;Grand Final;05;France;Sofia Mestari;"On aura le ciel";French;23;5
2000;Grand Final;06;Romania;Taxi;"The Moon";English;17;25
2000;Grand Final;07;Malta;Claudette Pace;"Desire";English, Maltese;8;73
2000;Grand Final;08;Norway;Charmed;"My Heart Goes Boom";English;11;57
2000;Grand Final;09;Russia;Alsou;"Solo";English;2;155
2000;Grand Final;10;Belgium;Nathalie Sorce;"Envie de vivre";French;24;2
2000;Grand Final;11;Cyprus;Voice;"Nomiza" (Νόμιζα);Greek, Italian;21;8
2000;Grand Final;12;Iceland;August & Telma;"Tell Me!";English;12;45
2000;Grand Final;13;Spain;Serafín Zubiri;"Colgado de un sueño";Spanish;18;18
2000;Grand Final;14;Denmark;Olsen Brothers;"Fly on the Wings of Love";English;1;195
2000;Grand Final;15;Germany;Stefan Raab;"Wadde hadde dudde da?";German, English;5;96
2000;Grand Final;16;Switzerland;Jane Bogaert;"La vita cos'è?";Italian;20;14
2000;Grand Final;17;Croatia;Goran Karan;"Kad zaspu anđeli";Croatian;9;70
2000;Grand Final;18;Sweden;Roger Pontare;"When Spirits Are Calling My Name";English;7;88
2000;Grand Final;19;Macedonia;XXL;"100% te ljubam" (100% те љубам);Macedonian, English;15;29
2000;Grand Final;20;Finland;Nina Åström;"A Little Bit";English;18;18
2000;Grand Final;21;Latvia;Brainstorm;"My Star";English;3;136
2000;Grand Final;22;Turkey;Pınar Ayhan & The SOS;"Yorgunum Anla";Turkish, English;10;59
2000;Grand Final;23;Ireland;Eamonn Toal;"Millennium of Love";English;6;92
2000;Grand Final;24;Austria;The Rounder Girls;"All to You";English;14;34
2001;Grand Final;01;Netherlands;Michelle;"Out on My Own";English;18;16
2001;Grand Final;02;Iceland;Two Tricky;"Angel";English;22;3
2001;Grand Final;03;Bosnia and Herzegovina;Nino Pršeš;"Hano";Bosnian, English;14;29
2001;Grand Final;04;Norway;Haldor Lægreid;"On My Own";English;22;3
2001;Grand Final;05;Israel;Tal Sondak;"En Davar" (אין דבר);Hebrew;16;25
2001;Grand Final;06;Russia;Mumiy Troll;"Lady Alpine Blue";English;12;37
2001;Grand Final;07;Sweden;Friends;"Listen to Your Heartbeat";English;5;100
2001;Grand Final;08;Lithuania;SKAMP;"You Got Style";English, Lithuanian;13;35
2001;Grand Final;09;Latvia;Arnis Mednis;"Too Much";English;18;16
2001;Grand Final;10;Croatia;Vanna;"Strings of My Heart";English;10;42
2001;Grand Final;11;Portugal;MTM;"Só sei ser feliz assim";Portuguese;17;18
2001;Grand Final;12;Ireland;Gary O'Shaughnessy;"Without Your Love";English;21;6
2001;Grand Final;13;Spain;David Civera;"Dile que la quiero";Spanish;6;76
2001;Grand Final;14;France;Natasha St-Pier;"Je n'ai que mon âme";French, English;4;142
2001;Grand Final;15;Turkey;Sedat Yüce;"Sevgiliye Son";Turkish, English;11;41
2001;Grand Final;16;United Kingdom;Lindsay Dracass;"No Dream Impossible";English;15;28
2001;Grand Final;17;Slovenia;Nuša Derenda;"Energy";English;7;70
2001;Grand Final;18;Poland;Piasek;"2 Long";English;20;11
2001;Grand Final;19;Germany;Michelle;"Wer Liebe lebt";German, English;8;66
2001;Grand Final;20;Estonia;Tanel Padar, Dave Benton & 2XL;"Everybody";English;1;198
2001;Grand Final;21;Malta;Fabrizio Faniello;"Another Summer Night";English;9;48
2001;Grand Final;22;Greece;Antique;"Die for You";Greek, English;3;147
2001;Grand Final;23;Denmark;Rollo & King;"Never Ever Let You Go";English;2;177
2002;Grand Final;01;Cyprus;One;"Gimme";English;6;85
2002;Grand Final;02;United Kingdom;Jessica Garlick;"Come Back";English;3;111
2002;Grand Final;03;Austria;Manuel Ortega;"Say a Word";English;18;26
2002;Grand Final;04;Greece;Michalis Rakintzis;"S.A.G.A.P.O.";English;17;27
2002;Grand Final;05;Spain;Rosa;"Europe's Living a Celebration";Spanish, English;7;81
2002;Grand Final;06;Croatia;Vesna Pisarović;"Everything I Want";English;11;44
2002;Grand Final;07;Russia;Prime Minister;"Northern Girl";English;10;55
2002;Grand Final;08;Estonia;Sahlene;"Runaway";English;3;111
2002;Grand Final;09;Macedonia;Karolina;"Od nas zavisi" (Од нас зависи);Macedonian;19;25
2002;Grand Final;10;Israel;Sarit Hadad;"Light a Candle";Hebrew, English;12;37
2002;Grand Final;11;Switzerland;Francine Jordi;"Dans le jardin de mon âme";French;22;15
2002;Grand Final;12;Sweden;Afro-dite;"Never Let It Go";English;8;72
2002;Grand Final;13;Finland;Laura;"Addicted to You";English;20;24
2002;Grand Final;14;Denmark;Malene Mortensen;"Tell Me Who You Are";English;24;7
2002;Grand Final;15;Bosnia and Herzegovina;Maja;"Na jastuku za dvoje" (На јастуку за двоје);Serbian, English;13;33
2002;Grand Final;16;Belgium;Sergio & The Ladies;"Sister";English;13;33
2002;Grand Final;17;France;Sandrine François;"Il faut du temps";French;5;104
2002;Grand Final;18;Germany;Corinna May;"I Can't Live Without Music";English;21;17
2002;Grand Final;19;Turkey;Buket Bengisu & Group Safir;"Leylaklar Soldu Kalbinde";Turkish, English;16;29
2002;Grand Final;20;Malta;Ira Losco;"7th Wonder";English;2;164
2002;Grand Final;21;Romania;Monica Anghel & Marcel Pavel;"Tell Me Why";English;9;71
2002;Grand Final;22;Slovenia;Sestre;"Samo ljubezen";Slovene;13;33
2002;Grand Final;23;Latvia;Marie N;"I Wanna";English;1;176
2002;Grand Final;24;Lithuania;Aivaras;"Happy You";English;23;12
2003;Grand Final;01;Iceland;Birgitta;"Open Your Heart";English;8;81
2003;Grand Final;02;Austria;Alf Poier;"Weil der Mensch zählt";German;6;101
2003;Grand Final;03;Ireland;Mickey Harte;"We've Got the World";English;11;53
2003;Grand Final;04;Turkey;Sertab Erener;"Everyway That I Can";English;1;167
2003;Grand Final;05;Malta;Lynn Chircop;"To Dream Again";English;25;4
2003;Grand Final;06;Bosnia and Herzegovina;Mija Martina;"Ne brini";Croatian, English;16;27
2003;Grand Final;07;Portugal;Rita Guerra;"Deixa-me sonhar";Portuguese, English;22;13
2003;Grand Final;08;Croatia;Claudia Beni;"Više nisam tvoja";Croatian, English;15;29
2003;Grand Final;09;Cyprus;Stelios Constantas;"Feeling Alive";English;20;15
2003;Grand Final;10;Germany;Lou;"Let's Get Happy";English;11;53
2003;Grand Final;11;Russia;t.A.T.u.;"Ne ver', ne boysia" (Не верь, не бойся);Russian;3;164
2003;Grand Final;12;Spain;Beth;"Dime";Spanish;8;81
2003;Grand Final;13;Israel;Lior Narkis;"Words for Love";Hebrew;19;17
2003;Grand Final;14;Netherlands;Esther Hart;"One More Night";English;13;45
2003;Grand Final;15;United Kingdom;Jemini;"Cry Baby";English;26;0
2003;Grand Final;16;Ukraine;Olexandr;"Hasta la Vista";English;14;30
2003;Grand Final;17;Greece;Mando;"Never Let You Go";English;17;25
2003;Grand Final;18;Norway;Jostein Hasselgård;"I'm Not Afraid to Move On";English;4;123
2003;Grand Final;19;France;Louisa Baïleche;"Monts et merveilles";French;18;19
2003;Grand Final;20;Poland;Ich Troje;"Keine Grenzen – Żadnych granic";German, Polish, Russian;7;90
2003;Grand Final;21;Latvia;F.L.Y.;"Hello from Mars";English;24;5
2003;Grand Final;22;Belgium;Urban Trad;"Sanomi";Imaginary;2;165
2003;Grand Final;23;Estonia;Ruffus;"Eighties Coming Back";English;21;14
2003;Grand Final;24;Romania;Nicola;"Don't Break My Heart";English;10;73
2003;Grand Final;25;Sweden;Fame;"Give Me Your Love";English;5;107
2003;Grand Final;26;Slovenia;Karmen;"Nanana";English;23;7
2004;Semifinal;01;Finland;Jari Sillanpää;"Takes 2 to Tango";English;14;51
2004;Semifinal;02;Belarus;Aleksandra and Konstantin;"My Galileo";English;19;10
2004;Semifinal;03;Switzerland;Piero Esteriore & The MusicStars;"Celebrate";English;22;0
2004;Semifinal;04;Latvia;Fomins and Kleins;"Dziesma par laimi";Latvian;17;23
2004;Semifinal;05;Israel;David D'Or;"Leha'amin" (להאמין);Hebrew, English;11;57
2004;Semifinal;06;Andorra;Marta Roure;"Jugarem a estimar-nos";Catalan;18;12
2004;Semifinal;07;Portugal;Sofia Vitória;"Foi magia";Portuguese;15;38
2004;Semifinal;08;Malta;Julie and Ludwig;"On Again... Off Again";English;8;74
2004;Semifinal;09;Monaco;Maryon;"Notre planète";French;19;10
2004;Semifinal;10;Greece;Sakis Rouvas;"Shake It";English;3;238
2004;Semifinal;11;Ukraine;Ruslana;"Wild Dances";English, Ukrainian;2;256
2004;Semifinal;12;Lithuania;Linas and Simona;"What's Happened to Your Love?";English;16;26
2004;Semifinal;13;Albania;Anjeza Shahini;"The Image of You";English;4;167
2004;Semifinal;14;Cyprus;Lisa Andreas;"Stronger Every Minute";English;5;149
2004;Semifinal;15;Macedonia;Toše Proeski;"Life";English;10;71
2004;Semifinal;16;Slovenia;Platin;"Stay Forever";English;21;5
2004;Semifinal;17;Estonia;Neiokõsõ;"Tii";Võro;11;57
2004;Semifinal;18;Croatia;Ivan Mikulić;"You Are the Only One";English;9;72
2004;Semifinal;19;Denmark;Tomas Thordarson;"Shame on You";English;13;56
2004;Semifinal;20;Serbia and Montenegro;Željko Joksimović & Ad-Hoc Orchestra;"Lane moje" (Лане моје);Serbian;1;263
2004;Semifinal;21;Bosnia and Herzegovina;Deen;"In the Disco";English;7;133
2004;Semifinal;22;Netherlands;Re-Union;"Without You";English;6;146
2004;Grand Final;01;Spain;Ramón;"Para llenarme de ti";Spanish;10;87
2004;Grand Final;02;Austria;Tie Break;"Du bist";German;21;9
2004;Grand Final;03;Norway;Knut Anders Sørum;"High";English;24;3
2004;Grand Final;04;France;Jonatan Cerrada;"À chaque pas";French, Spanish;15;40
2004;Grand Final;05;Serbia and Montenegro;Željko Joksimović & Ad-Hoc Orchestra;"Lane moje" (Лане моје);Serbian;2;263
2004;Grand Final;06;Malta;Julie and Ludwig;"On Again... Off Again";English;12;50
2004;Grand Final;07;Netherlands;Re-Union;"Without You";English;20;11
2004;Grand Final;08;Germany;Max;"Can't Wait Until Tonight";English, Turkish;8;93
2004;Grand Final;09;Albania;Anjeza Shahini;"The Image of You";English;7;106
2004;Grand Final;10;Ukraine;Ruslana;"Wild Dances";English, Ukrainian;1;280
2004;Grand Final;11;Croatia;Ivan Mikulić;"You Are the Only One";English;12;50
2004;Grand Final;12;Bosnia and Herzegovina;Deen;"In the Disco";English;9;91
2004;Grand Final;13;Belgium;Xandee;"1 Life";English;22;7
2004;Grand Final;14;Russia;Julia Savicheva;"Believe Me";English;11;67
2004;Grand Final;15;Macedonia;Toše Proeski;"Life";English;14;47
2004;Grand Final;16;Greece;Sakis Rouvas;"Shake It";English;3;252
2004;Grand Final;17;Iceland;Jónsi;"Heaven";English;19;16
2004;Grand Final;18;Ireland;Chris Doran;"If My World Stopped Turning";English;22;7
2004;Grand Final;19;Poland;Blue Café;"Love Song";English, Spanish;17;27
2004;Grand Final;20;United Kingdom;James Fox;"Hold On to Our Love";English;16;29
2004;Grand Final;21;Cyprus;Lisa Andreas;"Stronger Every Minute";English;5;170
2004;Grand Final;22;Turkey;Athena;"For Real";English;4;195
2004;Grand Final;23;Romania;Sanda;"I Admit";English;18;18
2004;Grand Final;24;Sweden;Lena Philipsson;"It Hurts";English;5;170
2005;Semifinal;01;Austria;Global.Kryner;"Y así";English, Spanish;21;30
2005;Semifinal;02;Lithuania;Laura & The Lovers;"Little by Little";English;25;17
2005;Semifinal;03;Portugal;2B;"Amar";Portuguese, English;17;51
2005;Semifinal;04;Moldova;Zdob și Zdub;"Boonika bate doba";English, Romanian;2;207
2005;Semifinal;05;Latvia;Walters & Kazha;"The War Is Not Over";English;10;85
2005;Semifinal;06;Monaco;Lise Darly;"Tout de moi";French;24;22
2005;Semifinal;07;Israel;Shiri Maimon;"Hasheket Shenish'ar" (השקט שנשאר);Hebrew, English;7;158
2005;Semifinal;08;Belarus;Angelica Agurbash;"Love Me Tonight";English;13;67
2005;Semifinal;09;Netherlands;Glennis Grace;"My Impossible Dream";English;14;53
2005;Semifinal;10;Iceland;Selma;"If I Had Your Love";English;16;52
2005;Semifinal;11;Belgium;Nuno Resende;"Le grand soir";French;22;29
2005;Semifinal;12;Estonia;Suntribe;"Let's Get Loud";English;20;31
2005;Semifinal;13;Norway;Wig Wam;"In My Dreams";English;6;164
2005;Semifinal;14;Romania;Luminița Anghel & Sistem;"Let Me Try";English;1;235
2005;Semifinal;15;Hungary;NOX;"Forogj, világ!";Hungarian;5;167
2005;Semifinal;16;Finland;Geir Rönning;"Why?";English;18;50
2005;Semifinal;17;Macedonia;Martin Vučić;"Make My Day";English;9;97
2005;Semifinal;18;Andorra;Marian van de Wal;"La mirada interior";Catalan;23;27
2005;Semifinal;19;Switzerland;Vanilla Ninja;"Cool Vibes";English;8;114
2005;Semifinal;20;Croatia;Boris Novković feat. Lado Members;"Vukovi umiru sami";Croatian;4;169
2005;Semifinal;21;Bulgaria;Kaffe;"Lorraine";English;19;49
2005;Semifinal;22;Ireland;Donna and Joe;"Love?";English;14;53
2005;Semifinal;23;Slovenia;Omar Naber;"Stop";Slovene;12;69
2005;Semifinal;24;Denmark;Jakob Sveistrup;"Talking to You";English;3;185
2005;Semifinal;25;Poland;Ivan & Delfin;"Czarna dziewczyna";Polish, Russian;11;81
2005;Grand Final;01;Hungary;NOX;"Forogj, világ!";Hungarian;12;97
2005;Grand Final;02;United Kingdom;Javine;"Touch My Fire";English;22;18
2005;Grand Final;03;Malta;Chiara;"Angel";English;2;192
2005;Grand Final;04;Romania;Luminița Anghel & Sistem;"Let Me Try";English;3;158
2005;Grand Final;05;Norway;Wig Wam;"In My Dreams";English;9;125
2005;Grand Final;06;Turkey;Gülseren;"Rimi Rimi Ley";Turkish;13;92
2005;Grand Final;07;Moldova;Zdob și Zdub;"Boonika bate doba";English, Romanian;6;148
2005;Grand Final;08;Albania;Ledina Çelo;"Tomorrow I Go";English;16;53
2005;Grand Final;09;Cyprus;Constantinos Christoforou;"Ela Ela";English;18;46
2005;Grand Final;10;Spain;Son de Sol;"Brujería";Spanish;21;28
2005;Grand Final;11;Israel;Shiri Maimon;"Hasheket Shenish'ar" (השקט שנשאר);Hebrew, English;4;154
2005;Grand Final;12;Serbia and Montenegro;No Name;"Zauvijek moja" (Заувијек моја);Montenegrin;7;137
2005;Grand Final;13;Denmark;Jakob Sveistrup;"Talking to You";English;9;125
2005;Grand Final;14;Sweden;Martin Stenmarck;"Las Vegas";English;19;30
2005;Grand Final;15;Macedonia;Martin Vučić;"Make My Day";English;17;52
2005;Grand Final;16;Ukraine;GreenJolly;"Razom nas bahato" (Разом нас багато);Ukrainian, English;19;30
2005;Grand Final;17;Germany;Gracia;"Run and Hide";English;24;4
2005;Grand Final;18;Croatia;Boris Novković feat. Lado Members;"Vukovi umiru sami";Croatian;11;115
2005;Grand Final;19;Greece;Helena Paparizou;"My Number One";English;1;230
2005;Grand Final;20;Russia;Natalia Podolskaya;"Nobody Hurt No One";English;15;57
2005;Grand Final;21;Bosnia and Herzegovina;Feminnem;"Call Me";English;14;79
2005;Grand Final;22;Switzerland;Vanilla Ninja;"Cool Vibes";English;8;128
2005;Grand Final;23;Latvia;Walters & Kazha;"The War Is Not Over";English;5;153
2005;Grand Final;24;France;Ortal;"Chacun pense à soi";French;23;11
2006;Semifinal;01;Armenia;André;"Without Your Love";English;6;150
2006;Semifinal;02;Bulgaria;Mariana Popova;"Let Me Cry";English;17;36
2006;Semifinal;03;Slovenia;Anžej Dežan;"Mr Nobody";English;16;49
2006;Semifinal;04;Andorra;Jenny;"Sense tu";Catalan;23;8
2006;Semifinal;05;Belarus;Polina Smolova;"Mum";English;22;10
2006;Semifinal;06;Albania;Luiz Ejlli;"Zjarr e ftohtë";Albanian;14;58
2006;Semifinal;07;Belgium;Kate Ryan;"Je t'adore";English;12;69
2006;Semifinal;08;Ireland;Brian Kennedy;"Every Song Is a Cry for Love";English;9;79
2006;Semifinal;09;Cyprus;Annet Artani;"Why Angels Cry";English;15;57
2006;Semifinal;10;Monaco;Séverine Ferrer;"La Coco-Dance";French, Tahitian;21;14
2006;Semifinal;11;Macedonia;Elena Risteska;"Ninanajna" (Нинанајна);English, Macedonian;10;76
2006;Semifinal;12;Poland;Ich Troje feat. Real McCoy;"Follow My Heart";English, Polish, German, Russian;11;70
2006;Semifinal;13;Russia;Dima Bilan;"Never Let You Go";English;3;217
2006;Semifinal;14;Turkey;Sibel Tüzün;"Süper Star";Turkish, English;8;91
2006;Semifinal;15;Ukraine;Tina Karol;"Show Me Your Love";English;7;146
2006;Semifinal;16;Finland;Lordi;"Hard Rock Hallelujah";English;1;292
2006;Semifinal;17;Netherlands;Treble;"Amambanda";English, Imaginary;20;22
2006;Semifinal;18;Lithuania;LT United;"We Are the Winners";English;5;163
2006;Semifinal;19;Portugal;Nonstop;"Coisas de nada";Portuguese, English;19;26
2006;Semifinal;20;Sweden;Carola;"Invincible";English;4;214
2006;Semifinal;21;Estonia;Sandra Oxenryd;"Through My Window";English;18;28
2006;Semifinal;22;Bosnia and Herzegovina;Hari Mata Hari;"Lejla";Bosnian;2;267
2006;Semifinal;23;Iceland;Silvia Night;"Congratulations";English;13;62
2006;Grand Final;01;Switzerland;six4one;"If We All Give a Little";English;16;30
2006;Grand Final;02;Moldova;Arsenium feat. Natalia Gordienko;"Loca";English;20;22
2006;Grand Final;03;Israel;Eddie Butler;"Together We Are One";Hebrew, English;23;4
2006;Grand Final;04;Latvia;Vocal Group Cosmos;"I Hear Your Heart";English;16;30
2006;Grand Final;05;Norway;Christine Guldbrandsen;"Alvedansen";Norwegian;14;36
2006;Grand Final;06;Spain;Las Ketchup;"Un Blodymary";Spanish;21;18
2006;Grand Final;07;Malta;Fabrizio Faniello;"I Do";English;24;1
2006;Grand Final;08;Germany;Texas Lightning;"No No Never";English;15;36
2006;Grand Final;09;Denmark;Sidsel Ben Semmane;"Twist of Love";English;18;26
2006;Grand Final;10;Russia;Dima Bilan;"Never Let You Go";English;2;248
2006;Grand Final;11;Macedonia;Elena Risteska;"Ninanajna" (Нинанајна);English, Macedonian;12;56
2006;Grand Final;12;Romania;Mihai Trăistariu;"Tornerò";English, Italian;4;172
2006;Grand Final;13;Bosnia and Herzegovina;Hari Mata Hari;"Lejla";Bosnian;3;229
2006;Grand Final;14;Lithuania;LT United;"We Are the Winners";English;6;162
